placer,width,height,fan_out,distance_sd,runtime,placed_net_length,manual_net_length,placed_total_entries,manual_total_entries,placed_max_entries,manual_max_entries
sa,768,768,4,3.0,19671.7018518,4161670,2463304,2473886,2344078,116,86
sa,384,384,4,3.0,2507.68976283,866133,615352,589742,585299,103,90
sa,768,768,4,3.0,19773.5491562,4057353,2463348,2495076,2344422,118,89
rcm,512,512,4,3.0,6.79121994972,32391998,1094095,2176648,1041115,409,90
sa,768,768,4,3.0,19791.2132831,3781734,2462628,2447396,2343565,111,87
rcm,512,512,4,3.0,6.69359493256,32407628,1093406,2176526,1040606,424,86
sa,512,512,4,3.0,5946.1046679,1656195,1093817,1083021,1040765,101,84
sa,768,768,4,3.0,19674.7628858,4397900,2464466,2538256,2344592,111,89
rcm,512,512,4,3.0,6.76093816757,32451561,1093117,2176216,1040317,417,86
rand,512,512,4,3.0,77.5464389324,42788996,1093698,2289680,1040900,181,87
sa,512,512,4,3.0,5943.87379003,1623133,1093584,1071884,1040752,107,88
rcm,512,512,4,3.0,6.76954102516,32429979,1093741,2175917,1040954,409,89
sa,768,768,4,3.0,19673.6418879,4269691,2463102,2505486,2343593,117,88
rand,512,512,4,3.0,77.8099570274,42799307,1093476,2290069,1040255,186,91
rcm,512,512,4,3.0,6.75632715225,32412582,1093125,2174541,1040590,428,86
rand,512,512,4,3.0,77.1328098774,42801600,1093408,2289524,1040776,187,85
sa,768,768,4,3.0,19650.7436371,4454589,2463882,2514679,2344487,113,87
rand,512,512,4,3.0,77.5940709114,42795823,1093244,2289830,1040554,186,86
rand,512,512,4,3.0,77.7560610771,42780865,1094198,2289422,1041117,188,86
rand,512,512,4,3.0,75.4983699322,42785990,1094520,2289497,1041650,184,86
rand,512,512,4,3.0,74.8731229305,42770880,1093458,2289830,1040910,188,92
sa,768,768,4,3.0,19705.6386151,4207700,2462596,2491834,2343193,110,90
rand,512,512,4,3.0,75.7238678932,42788908,1095607,2290510,1042479,189,86
rcm,256,256,4,3.0,1.52877402306,3723614,273088,537370,260098,299,85
rand,512,512,4,3.0,64.9222669601,42834370,1095127,2289629,1041943,182,86
sa,768,768,4,3.0,19789.1945181,4271020,2461839,2525435,2342972,112,88
rand,512,512,4,3.0,76.595993042,42803834,1092996,2290090,1040202,190,87
rand,512,512,4,3.0,74.9581568241,42811556,1094759,2290952,1042013,188,89
rand,512,512,4,3.0,77.723582983,42821564,1094366,2290080,1041804,197,88
rand,512,512,4,3.0,74.7904469967,42784110,1093938,2289059,1040957,188,86
sa,768,768,4,3.0,19669.4260049,4239076,2463579,2509893,2344701,113,86
sa,768,768,4,3.0,19992.5830472,4237533,2461370,2490403,2342626,109,89
rand,512,512,4,3.0,75.9932150841,42818328,1093899,2290129,1041211,193,86
rand,512,512,4,3.0,76.77293396,42764772,1094176,2289799,1041257,188,86
sa,1024,1024,4,3.0,44837.1735661,8213525,4378669,4515138,4166647,120,88
sa,1024,1024,4,3.0,44888.8288131,8448595,4379211,4517708,4167924,113,89
sa,1024,1024,4,3.0,45266.1553409,8075987,4379668,4468353,4167196,113,88
sa,1024,1024,4,3.0,45170.3345079,8360142,4376074,4488653,4164062,111,86
sa,1024,1024,4,3.0,45031.8251791,8397633,4378543,4539029,4166101,112,86
sa,1024,1024,4,3.0,45281.3043032,8830546,4377353,4576258,4165180,114,90
sa,1024,1024,4,3.0,45044.9123452,8795887,4380457,4579243,4167880,120,87
sa,1024,1024,4,3.0,44832.8008599,8464085,4378587,4556150,4166223,110,88
sa,1024,1024,4,3.0,44836.5141509,8540988,4379206,4540701,4166933,109,87
sa,1024,1024,4,3.0,45446.7805979,8703452,4378467,4571831,4166872,111,87
sa,1024,1024,4,3.0,44898.6105361,8988354,4379422,4576462,4166464,115,86
rand,512,512,4,3.0,76.8334271908,42745855,1092976,2289663,1039990,187,86
sa,1024,1024,4,3.0,45006.5202429,8294781,4378011,4509565,4165912,112,93
sa,1024,1024,4,3.0,45564.8578022,8239765,4379838,4520280,4167023,121,88
sa,1024,1024,4,3.0,45080.661371,8581467,4378813,4534549,4166736,115,87
sa,1024,1024,4,3.0,45519.675714,8620358,4376782,4550328,4164972,119,94
rand,512,512,4,3.0,82.113806963,42752152,1093684,2289881,1040529,183,86
sa,1024,1024,4,3.0,45119.785831,8260295,4377387,4504396,4166040,109,90
sa,1024,1024,4,3.0,45157.3137419,8230885,4379769,4539948,4167803,113,89
rand,512,512,4,3.0,82.2408850193,42810720,1094355,2290617,1041486,195,87
sa,1024,1024,4,3.0,44850.5599229,8425336,4379378,4530329,4166904,108,92
sa,1024,1024,4,3.0,44963.3683631,8417619,4376751,4551698,4165723,110,92
sa,1024,1024,4,3.0,44932.8526299,8398279,4379783,4505880,4166533,113,89
