"","experiment","fault_model","dist","postprocess","dest","faults","router","num_samples","resource","resource_stdev","resource_min","resource_max","entries","entries_stdev","entries_min","entries_max","useX","useX_stdev","useX_min","useX_max","useY","useY_stdev","useY_min","useY_max","useD","useD_stdev","useD_min","useD_max","disconne","disconne_stdev","disconne_min","disconne_max","exectime","exectime_stdev","exectime_min","exectime_max","post_exectime","post_exectime_stdev","post_exectime_min","post_exectime_max","exectime_ci","post_exectime_ci","disconne_ci","resource_ci","entries_ci"
"38","baseline","spinn_link","cent3","DIJKSTRA",16,609,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","baseline","spinn_link","cent3","DIJKSTRA",16,609,"smart",10000,144.4855,634.499912931436,0,336,22.3198,28.1356125975604,0,40,49.6316,381.48107402596,0,217,49.0493,380.948390213163,0,212,48.889,385.426677666453,0,225,0,0,0,0,20.0638,83.5375104873852,0,48,4.227,62.2463132793421,0,48,1.37406977111672,1.02386074161883,0,10.4365948308567,0.462789644275988
"40","baseline","spinn_link","cent3","DIJKSTRA",16,609,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","baseline","spinn_link","cent3","DIJKSTRA",16,1218,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","baseline","spinn_link","cent3","DIJKSTRA",16,1218,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","baseline","spinn_link","cent3","DIJKSTRA",16,1218,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","baseline","spinn_link","cent3","DIJKSTRA",16,1218,"smart",10000,145.5894,635.645586376559,0,354,23.6849,39.1166244784746,0,48,50.7416,375.918269969684,0,219,51.8164,391.393254050194,0,259,49.8417,384.202374688132,0,221,0,0,0,0,20.1554,83.2257822219774,0,52,7.5303,76.9804619106693,0,60,1.36894229743693,1.26621591978164,0,10.4554394820718,0.643411216475177
"45","baseline","spinn_link","cent3","DIJKSTRA",16,1218,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","baseline","spinn_link","cent3","DIJKSTRA",16,2457,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","baseline","spinn_link","cent3","DIJKSTRA",16,2457,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
