added_dead_links,centroids,hss_links,num_chips,num_cores,saturation_point
5,None,True,64.0,1075.0,200600.0
6,None,False,60.0,1009.0,170660.0
7,None,False,62.0,1041.0,245510.0
6,None,True,63.0,1058.0,210580.0
7,None,True,63.0,1062.0,130740.0
5,3,False,59.0,991.0,250500.0
5,3,True,59.0,993.0,135730.0
6,3,False,60.0,1008.0,260480.0
6,3,True,60.0,1006.0,110780.0
8,None,False,64.0,1076.0,230540.0
8,None,True,64.0,1076.0,140720.0
7,3,False,64.0,1074.0,280440.0
8,3,True,63.0,1060.0,125750.0
7,3,True,64.0,1076.0,185630.0
8,3,False,64.0,1075.0,270460.0
10,None,False,59.0,991.0,230540.0
9,None,False,60.0,1009.0,240520.0
10,None,True,60.0,1008.0,95810.0
9,None,True,63.0,1058.0,105790.0
10,3,True,59.0,993.0,90820.0
9,3,False,62.0,1041.0,255490.0
9,3,True,63.0,1062.0,105790.0
0,None,True,64.0,1076.0,285430.0
1,None,True,64.0,1075.0,295410.0
1,None,False,64.0,1075.0,265470.0
0,None,False,64.0,1076.0,235530.0
0,3,True,64.0,1075.0,305390.0
0,3,False,64.0,1076.0,290420.0
1,3,False,60.0,1006.0,290420.0
5,None,False,60.0,1006.0,220560.0
2,None,True,60.0,1009.0,245510.0
2,None,False,60.0,1008.0,245510.0
3,None,False,62.0,1041.0,255490.0
3,None,True,63.0,1062.0,250500.0
4,None,False,64.0,1076.0,260480.0
4,None,True,64.0,1075.0,220560.0
2,3,True,59.0,993.0,225550.0
1,3,True,59.0,991.0,290420.0
2,3,False,63.0,1058.0,310380.0
4,3,False,63.0,1060.0,245510.0
3,3,True,64.0,1075.0,265470.0
3,3,False,64.0,1071.0,245510.0
4,3,True,64.0,1076.0,230540.0
5,None,True,60.0,1006.0,160680.0
7,None,False,59.0,991.0,255490.0
7,None,True,59.0,993.0,135730.0
6,None,True,60.0,1009.0,240520.0
8,None,False,64.0,1075.0,230540.0
8,None,True,63.0,1060.0,105790.0
6,None,False,63.0,1062.0,245510.0
5,3,False,60.0,1008.0,240520.0
8,3,False,64.0,1076.0,210580.0
6,3,True,64.0,1075.0,180640.0
6,3,False,64.0,1075.0,270460.0
5,3,True,62.0,1041.0,200600.0
7,3,True,64.0,1076.0,200600.0
7,3,False,63.0,1058.0,270460.0
10,None,False,63.0,1060.0,290420.0
0,None,False,64.0,1076.0,290420.0
1,None,False,64.0,1075.0,295410.0
0,None,True,64.0,1076.0,290420.0
0,3,True,64.0,1075.0,300400.0
9,3,True,64.0,1074.0,120760.0
9,None,True,59.0,993.0,135730.0
9,None,False,60.0,1006.0,280440.0
10,None,True,63.0,1062.0,125750.0
8,3,True,59.0,991.0,130740.0
10,3,False,60.0,1008.0,230540.0
9,3,False,60.0,1009.0,225550.0
0,3,False,63.0,1058.0,250500.0
10,3,True,62.0,1041.0,95810.0
1,None,True,64.0,1076.0,260480.0
2,None,True,64.0,1075.0,210580.0
2,None,False,64.0,1075.0,285430.0
1,3,False,64.0,1076.0,300400.0
1,3,True,64.0,1075.0,290420.0
2,3,False,64.0,1076.0,305390.0
3,None,False,59.0,993.0,230540.0
4,None,False,60.0,1008.0,225550.0
4,None,True,63.0,1058.0,200600.0
3,None,True,63.0,1062.0,225550.0
3,3,False,59.0,991.0,255490.0
2,3,True,60.0,1006.0,250500.0
3,3,True,60.0,1009.0,230540.0
4,3,False,62.0,1041.0,240520.0
5,None,False,64.0,1075.0,275450.0
5,None,True,64.0,1075.0,180640.0
6,None,False,64.0,1076.0,290420.0
5,3,True,63.0,1060.0,195610.0
4,3,True,64.0,1075.0,205590.0
5,3,False,64.0,1076.0,270460.0
7,None,True,59.0,991.0,140720.0
6,None,True,59.0,993.0,205590.0
8,None,False,62.0,1041.0,255490.0
7,None,False,63.0,1062.0,220560.0
7,3,False,60.0,1006.0,275450.0
6,3,False,60.0,1008.0,235530.0
7,3,True,60.0,1009.0,145710.0
6,3,True,63.0,1058.0,215570.0
8,None,True,64.0,1075.0,125750.0
9,None,False,64.0,1076.0,195610.0
9,None,True,64.0,1076.0,120760.0
9,3,False,64.0,1075.0,230540.0
8,3,False,64.0,1076.0,250500.0
8,3,True,64.0,1075.0,105790.0
10,None,False,59.0,993.0,150700.0
0,None,False,60.0,1006.0,285430.0
0,None,True,60.0,1009.0,230540.0
10,None,True,62.0,1041.0,95810.0
9,3,True,59.0,991.0,120760.0
0,3,False,63.0,1058.0,335330.0
10,3,False,63.0,1062.0,230540.0
0,3,True,60.0,1008.0,250500.0
2,None,True,63.0,1058.0,230540.0
2,None,False,64.0,1076.0,290420.0
1,None,True,64.0,1076.0,285430.0
1,None,False,64.0,1076.0,260480.0
1,3,False,64.0,1074.0,275450.0
1,3,True,64.0,1075.0,295410.0
4,None,True,60.0,1008.0,240520.0
3,None,False,60.0,1009.0,210580.0
3,None,True,62.0,1041.0,235530.0
4,None,False,63.0,1062.0,220560.0
3,3,False,59.0,991.0,300400.0
2,3,True,59.0,993.0,205590.0
2,3,False,60.0,1006.0,275450.0
3,3,True,63.0,1058.0,290420.0
5,None,False,64.0,1076.0,245510.0
5,None,True,64.0,1076.0,185630.0
4,3,True,64.0,1075.0,225550.0
4,3,False,64.0,1076.0,230540.0
5,3,True,64.0,1075.0,195610.0
8,None,False,64.0,1074.0,290420.0
7,None,False,59.0,991.0,225550.0
7,None,True,60.0,1006.0,100800.0
6,None,False,60.0,1008.0,210580.0
